Activity_ID,L3,L4,L5,AS_IS_L6,TO_BE_L6,Token_Coverage,AS_Tokens,TO_Tokens,Issue
V2-L6-0001,교육,교육과정설계,Pilot과정 운영,대상자 선발,Pilot과정 운영 Pilot과정 결과 확정,0.00,선발,"Pilot과정,확정",창작/과치환 의심
V2-L6-0002,교육,교육과정설계,Pilot과정 운영,과정 운영,Pilot과정 운영 검토 의견 등록,0.00,과정,"Pilot과정,검토,등록,의견",창작/과치환 의심
V2-L6-0003,교육,교육과정설계,Pilot과정 운영,결과 분석/반영,Pilot과정 운영 수정본 등록,0.00,"반영,분석","Pilot과정,등록,수정본",창작/과치환 의심
V2-L6-0004,교육,교육과정설계,Pilot과정 운영,결과 분석/반영,Pilot과정 운영 승인 결재 승인 완료,0.00,"반영,분석","Pilot과정,결재,승인,완료",창작/과치환 의심
V2-L6-0005,교육,교육과정설계,커리큘럼 확정,내부 보고/품의,커리큘럼 확정 결과 확정,0.00,"내부,보고,품의","커리큘럼,확정",창작/과치환 의심
V2-L6-0006,교육,교육과정설계,커리큘럼 확정,내부 보고/품의,커리큘럼 확정 검토 의견 등록,0.00,"내부,보고,품의","검토,등록,의견,커리큘럼,확정",창작/과치환 의심
V2-L6-0007,교육,교육과정설계,커리큘럼 확정,내부 보고/품의,커리큘럼 확정 수정본 등록,0.00,"내부,보고,품의","등록,수정본,커리큘럼,확정",창작/과치환 의심
V2-L6-0008,교육,교육과정설계,커리큘럼 확정,내부 보고/품의,커리큘럼 확정 승인 결재 승인 완료,0.00,"내부,보고,품의","결재,승인,완료,커리큘럼,확정",창작/과치환 의심
V2-L6-0013,교육,교육과정설계,프로그램 운영방안 결정,교육 형태/기간,프로그램 운영방안 결정 결과 확정,0.00,"교육,기간,형태","결정,운영방안,프로그램,확정",창작/과치환 의심
V2-L6-0014,교육,교육과정설계,프로그램 운영방안 결정,신청/선발 방식,프로그램 운영방안 결정 검토 의견 등록,0.00,"방식,선발,신청","검토,결정,등록,운영방안,의견,프로그램",창작/과치환 의심
V2-L6-0015,교육,교육과정설계,프로그램 운영방안 결정,신청/선발 방식,프로그램 운영방안 결정 수정본 등록,0.00,"방식,선발,신청","결정,등록,수정본,운영방안,프로그램",창작/과치환 의심
V2-L6-0016,교육,교육과정설계,프로그램 운영방안 결정,신청/선발 방식,프로그램 운영방안 결정 승인 결재 승인 완료,0.00,"방식,선발,신청","결재,결정,승인,완료,운영방안,프로그램",창작/과치환 의심
V2-L6-0018,교육,교육니즈분석,교육대상 분석,특수 국적/언어 등,교육대상 분석 검토 의견 등록,0.00,"국적,언어,특수","검토,교육대상,등록,분석,의견",창작/과치환 의심
V2-L6-0021,교육,교육니즈분석,요구사항분석,경영진요구사항 분석,요구사항분석 결과 확정,0.00,"경영진요구사항,분석","요구사항분석,확정",창작/과치환 의심
V2-L6-0022,교육,교육니즈분석,요구사항분석,임직원 요구사항 분석,요구사항분석 검토 의견 등록,0.00,"분석,요구사항,임직원","검토,등록,요구사항분석,의견",창작/과치환 의심
V2-L6-0023,교육,교육니즈분석,요구사항분석,임직원 요구사항 분석,요구사항분석 수정본 등록,0.00,"분석,요구사항,임직원","등록,수정본,요구사항분석",창작/과치환 의심
V2-L6-0024,교육,교육니즈분석,요구사항분석,임직원 요구사항 분석,요구사항분석 승인 결재 승인 완료,0.00,"분석,요구사항,임직원","결재,승인,완료,요구사항분석",창작/과치환 의심
V2-L6-0025,교육,교육니즈분석,커리큘럼 기획,전년도 결과 리뷰/분석,커리큘럼 기획 커리큘럼 결과 확정,0.00,"리뷰,분석,전년도","기획,커리큘럼,확정",창작/과치환 의심
V2-L6-0026,교육,교육니즈분석,커리큘럼 기획,인사이트 발굴,커리큘럼 기획 검토 의견 확정,0.00,"발굴,인사이트","검토,기획,의견,커리큘럼,확정",창작/과치환 의심
V2-L6-0027,교육,교육니즈분석,커리큘럼 기획,우선순위 도출,커리큘럼 기획 수정본 등록,0.00,"도출,우선순위","기획,등록,수정본,커리큘럼",창작/과치환 의심
V2-L6-0028,교육,교육니즈분석,커리큘럼 기획,우선순위 도출,커리큘럼 기획 승인 결재 승인 완료,0.00,"도출,우선순위","결재,기획,승인,완료,커리큘럼",창작/과치환 의심
V2-L6-0029,교육,교육니즈분석,커리큘럼 기획,우선순위 도출,커리큘럼 기획 공지문 등록,0.00,"도출,우선순위","공지문,기획,등록,커리큘럼",창작/과치환 의심
V2-L6-0030,교육,교육니즈분석,커리큘럼 기획,우선순위 도출,커리큘럼 기획 시스템 등록,0.00,"도출,우선순위","기획,등록,시스템,커리큘럼",창작/과치환 의심
V2-L6-0031,교육,교육니즈분석,커리큘럼 기획,우선순위 도출,커리큘럼 기획 시행 내역 등록,0.00,"도출,우선순위","기획,등록,시행,커리큘럼",창작/과치환 의심
V2-L6-0032,교육,교육니즈분석,커리큘럼 기획,우선순위 도출,커리큘럼 기획 운영 결과 리포트 등록,0.00,"도출,우선순위","기획,등록,리포트,커리큘럼",창작/과치환 의심
V2-L6-0033,교육,교육니즈분석,트렌드분석,환경변화 자료검색/리서치,트렌드분석 결과 확정,0.00,"리서치,자료검색,환경변화","트렌드분석,확정",창작/과치환 의심
V2-L6-0034,교육,교육니즈분석,트렌드분석,환경변화 관련 인사이트 발굴,트렌드분석 검토 의견 등록,0.00,"발굴,인사이트,환경변화","검토,등록,의견,트렌드분석",창작/과치환 의심
V2-L6-0035,교육,교육니즈분석,트렌드분석,환경변화 관련 인사이트 발굴,트렌드분석 수정본 등록,0.00,"발굴,인사이트,환경변화","등록,수정본,트렌드분석",창작/과치환 의심
V2-L6-0036,교육,교육니즈분석,트렌드분석,환경변화 관련 인사이트 발굴,트렌드분석 승인 결재 승인 완료,0.00,"발굴,인사이트,환경변화","결재,승인,완료,트렌드분석",창작/과치환 의심
V2-L6-0041,교육,교육운영,과정 운영,강의장 점검,과정 운영 과정 결과 확정,0.00,"강의장,점검","과정,확정",창작/과치환 의심
V2-L6-0042,교육,교육운영,과정 운영,강사 영접,과정 운영 검토 의견 등록,0.00,"강사,영접","검토,과정,등록,의견",창작/과치환 의심
V2-L6-0043,교육,교육운영,과정 운영,출석체크/오리엔테이션,과정 운영 수정본 등록,0.00,"오리엔테이션,출석체크","과정,등록,수정본",창작/과치환 의심
V2-L6-0044,교육,교육운영,과정 운영,강의 및 퍼실리테이팅/코칭 진행,과정 운영 승인 결재 승인 완료,0.00,"강의,코칭,퍼실리테이팅","결재,과정,승인,완료",창작/과치환 의심
V2-L6-0045,교육,교육운영,과정설문 취합/분석,과정 설문 준비,과정설문 취합/분석 결과 확정,0.00,"과정,설문,준비","과정설문,분석,취합,확정",창작/과치환 의심
V2-L6-0056,교육,교육운영,교육 예산 계획 수립,전년도 경비실적 분석,교육 예산 계획 수립 교육 예산 계획 결과 확정,0.00,"경비실적,분석,전년도","계획,교육,수립,예산,확정",창작/과치환 의심
V2-L6-0058,교육,교육운영,교육 예산 계획 수립,운영품의(PR) 진행,교육 예산 계획 수립 수정본 등록,0.00,"PR,운영품의","계획,교육,등록,수립,수정본,예산",창작/과치환 의심
V2-L6-0059,교육,교육운영,교육 예산 계획 수립,운영품의(PR) 진행,교육 예산 계획 수립 승인 결재 승인 완료,0.00,"PR,운영품의","결재,계획,교육,수립,승인,예산,완료",창작/과치환 의심
V2-L6-0060,교육,교육운영,내/외부 강사관리,배차 신청,내/외부 강사관리 강사 배정표 확정,0.00,"배차,신청","강사,강사관리,배정표,외부,확정",창작/과치환 의심
V2-L6-0061,교육,교육운영,내/외부 강사관리,방문 신청,내/외부 강사관리 검토 의견 등록,0.00,"방문,신청","강사관리,검토,등록,외부,의견",창작/과치환 의심
V2-L6-0062,교육,교육운영,내/외부 강사관리,식권 신청,내/외부 강사관리 수정본 등록,0.00,"식권,신청","강사관리,등록,수정본,외부",창작/과치환 의심
V2-L6-0063,교육,교육운영,내/외부 강사관리,벤더 등록,내/외부 강사관리 승인 결재 승인 완료,0.00,"등록,벤더","강사관리,결재,승인,완료,외부",창작/과치환 의심
V2-L6-0064,교육,교육운영,내/외부 강사관리,교육과정/강의 안내,내/외부 강사관리 공지문 확정,0.00,"강의,교육과정,안내","강사관리,공지문,외부,확정",창작/과치환 의심
V2-L6-0065,교육,교육운영,내/외부 강사관리,강사 영접 및 VOC 대응,내/외부 강사관리 시스템 반영 등록,0.00,"VOC,강사,대응,영접","강사관리,등록,반영,시스템,외부",창작/과치환 의심
V2-L6-0066,교육,교육운영,내/외부 강사관리,강사 영접 및 VOC 대응,내/외부 강사관리 시행 내역 등록,0.00,"VOC,강사,대응,영접","강사관리,등록,시행,외부",창작/과치환 의심
V2-L6-0074,교육,교육운영,성과분석/결과보고,성과 분석,성과분석/결과보고 결과 확정,0.00,"분석,성과","결과보고,성과분석,확정",창작/과치환 의심
V2-L6-0075,교육,교육운영,성과분석/결과보고,결과 보고,성과분석/결과보고 검토 의견 등록,0.00,보고,"검토,결과보고,등록,성과분석,의견",창작/과치환 의심
V2-L6-0076,교육,교육운영,성과분석/결과보고,우수 교육생 시상,성과분석/결과보고 수정본 등록,0.00,"교육생,시상,우수","결과보고,등록,성과분석,수정본",창작/과치환 의심
V2-L6-0077,교육,교육운영,성과분석/결과보고,강사 감사레터 작성/발송(필요시),성과분석/결과보고 승인 결재 승인 완료,0.00,"감사레터,강사,발송,작성,필요시","결과보고,결재,성과분석,승인,완료",창작/과치환 의심
V2-L6-0078,교육,교육운영,성과분석/결과보고,교육관련 사진/영상자료 정리,성과분석/결과보고 공지문 확정,0.00,"교육관련,사진,영상자료,정리","결과보고,공지문,성과분석,확정",창작/과치환 의심
V2-L6-0079,교육,교육운영,성과분석/결과보고,교육관련 사진/영상자료 정리,성과분석/결과보고 시스템 등록,0.00,"교육관련,사진,영상자료,정리","결과보고,등록,성과분석,시스템",창작/과치환 의심
V2-L6-0080,교육,교육운영,성과분석/결과보고,교육관련 사진/영상자료 정리,성과분석/결과보고 시행 내역 등록,0.00,"교육관련,사진,영상자료,정리","결과보고,등록,성과분석,시행",창작/과치환 의심
V2-L6-0082,교육,교육운영,수료 관리 및 경비처리,정산 진행,수료 관리 및 경비처리 검토 의견 등록,0.00,정산,"검토,경비처리,등록,수료,의견",창작/과치환 의심
V2-L6-0083,교육,교육운영,수료 관리 및 경비처리,정산 진행,수료 관리 및 경비처리 수정본 등록,0.00,정산,"경비처리,등록,수료,수정본",창작/과치환 의심
V2-L6-0084,교육,교육운영,수료 관리 및 경비처리,정산 진행,수료 관리 및 경비처리 승인 결재 승인 완료,0.00,정산,"결재,경비처리,수료,승인,완료",창작/과치환 의심
V2-L6-0085,교육,교육운영,수료 관리 및 경비처리,정산 진행,수료 관리 및 경비처리 공지문 확정,0.00,정산,"경비처리,공지문,수료,확정",창작/과치환 의심
V2-L6-0086,교육,교육운영,수료 관리 및 경비처리,정산 진행,수료 관리 및 경비처리 시스템 등록,0.00,정산,"경비처리,등록,수료,시스템",창작/과치환 의심
V2-L6-0087,교육,교육운영,수료 관리 및 경비처리,정산 진행,수료 관리 및 경비처리 시행 내역 반영 등록,0.00,정산,"경비처리,등록,반영,수료,시행",창작/과치환 의심
V2-L6-0088,교육,교육운영,운영준비(인프라 셋팅 등),운영관련 체크리스트 준비,운영준비(인프라 셋팅 등) 결과 확정,0.00,"운영관련,준비,체크리스트","셋팅,운영준비,인프라,확정",창작/과치환 의심
V2-L6-0089,교육,교육운영,운영준비(인프라 셋팅 등),시설 예약,운영준비(인프라 셋팅 등) 검토 의견 등록,0.00,"시설,예약","검토,등록,셋팅,운영준비,의견,인프라",창작/과치환 의심
V2-L6-0090,교육,교육운영,운영준비(인프라 셋팅 등),PC 대여/반납 준비,운영준비(인프라 셋팅 등) 수정본 등록,0.00,"PC,대여,반납,준비","등록,셋팅,수정본,운영준비,인프라",창작/과치환 의심
V2-L6-0091,교육,교육운영,운영준비(인프라 셋팅 등),교보재 준비,운영준비(인프라 셋팅 등) 승인 결재 승인 완료,0.00,"교보재,준비","결재,셋팅,승인,완료,운영준비,인프라",창작/과치환 의심
V2-L6-0095,교육,교육운영,입과안내/교육생 관리,VOC 대응,입과안내/교육생 관리 승인 결재 승인 완료,0.00,"VOC,대응","결재,교육생,승인,완료,입과안내",창작/과치환 의심
V2-L6-0096,교육,교육운영,입과안내/교육생 관리,VOC 대응,입과안내/교육생 관리 공지문 확정,0.00,"VOC,대응","공지문,교육생,입과안내,확정",창작/과치환 의심
V2-L6-0097,교육,교육운영,입과안내/교육생 관리,VOC 대응,입과안내/교육생 관리 시스템 반영 등록,0.00,"VOC,대응","교육생,등록,반영,시스템,입과안내",창작/과치환 의심
V2-L6-0098,교육,교육운영,입과안내/교육생 관리,VOC 대응,입과안내/교육생 관리 시행 내역 등록,0.00,"VOC,대응","교육생,등록,시행,입과안내",창작/과치환 의심
V2-L6-0099,교육,교육전략,전사 교육 전략 기획,신설/폐강 과정 관리,전사 교육 전략 기획 전사 교육 전략 결과 확정,0.00,"과정,신설,폐강","교육,기획,전략,전사,확정",창작/과치환 의심
V2-L6-0100,교육,교육전략,전사 교육 전략 기획,신설/폐강 과정 관리,전사 교육 전략 기획 검토 의견 등록,0.00,"과정,신설,폐강","검토,교육,기획,등록,의견,전략,전사",창작/과치환 의심
V2-L6-0101,교육,교육전략,전사 교육 전략 기획,신설/폐강 과정 관리,전사 교육 전략 기획 수정본 등록,0.00,"과정,신설,폐강","교육,기획,등록,수정본,전략,전사",창작/과치환 의심
V2-L6-0102,교육,교육전략,전사 교육 전략 기획,신설/폐강 과정 관리,전사 교육 전략 기획 승인 결재 승인 완료,0.00,"과정,신설,폐강","결재,교육,기획,승인,완료,전략,전사",창작/과치환 의심
V2-L6-0103,교육,내부 컨텐츠 개발,강의안 및 교보재 개발,과정개발 계획수립,강의안 및 교보재 개발 교보재 목록 확정,0.00,"계획수립,과정개발","강의안,개발,교보재,목록,확정",창작/과치환 의심
V2-L6-0115,교육,내부 컨텐츠 개발,강의안 및 교보재 개발,모듈계획서 작성,강의안 및 교보재 개발 검토 확정,0.00,"모듈계획서,작성","강의안,개발,검토,교보재,확정",창작/과치환 의심
V2-L6-0116,교육,내부 컨텐츠 개발,강의안 및 교보재 개발,강의자료 번역(필요시),강의안 및 교보재 개발 초안 확정,0.00,"강의자료,번역,필요시","강의안,개발,교보재,초안,확정",창작/과치환 의심
V2-L6-0105,교육,내부 컨텐츠 개발,강의안 및 교보재 개발,강의자료 번역(필요시),강의안 및 교보재 개발 수정본 등록,0.00,"강의자료,번역,필요시","강의안,개발,교보재,등록,수정본",창작/과치환 의심
V2-L6-0111,교육,내부 컨텐츠 개발,강의안 및 교보재 개발,강의자료 번역(필요시),강의안 및 교보재 개발 교보재 목록 대상자 확정,0.00,"강의자료,번역,필요시","강의안,개발,교보재,목록,확정",창작/과치환 의심
V2-L6-0106,교육,내부 컨텐츠 개발,강의안 및 교보재 개발,강의자료 번역(필요시),강의안 및 교보재 개발 승인 결재 승인 완료,0.00,"강의자료,번역,필요시","강의안,개발,결재,교보재,승인,완료",창작/과치환 의심
V2-L6-0112,교육,내부 컨텐츠 개발,강의안 및 교보재 개발,강의자료 번역(필요시),강의안 및 교보재 개발 승인본 확정,0.00,"강의자료,번역,필요시","강의안,개발,교보재,승인본,확정",창작/과치환 의심
V2-L6-0107,교육,내부 컨텐츠 개발,강의안 및 교보재 개발,강의자료 번역(필요시),강의안 및 교보재 개발 공지문 등록,0.00,"강의자료,번역,필요시","강의안,개발,공지문,교보재,등록",창작/과치환 의심
V2-L6-0113,교육,내부 컨텐츠 개발,강의안 및 교보재 개발,강의자료 번역(필요시),강의안 및 교보재 개발 공지문 발송 등록,0.00,"강의자료,번역,필요시","강의안,개발,공지문,교보재,등록,발송",창작/과치환 의심
V2-L6-0108,교육,내부 컨텐츠 개발,강의안 및 교보재 개발,강의자료 번역(필요시),강의안 및 교보재 개발 시스템 등록,0.00,"강의자료,번역,필요시","강의안,개발,교보재,등록,시스템",창작/과치환 의심
V2-L6-0114,교육,내부 컨텐츠 개발,강의안 및 교보재 개발,강의자료 번역(필요시),강의안 및 교보재 개발 시스템 반영 등록,0.00,"강의자료,번역,필요시","강의안,개발,교보재,등록,반영,시스템",창작/과치환 의심
V2-L6-0118,교육,양성,선발 규모/선발 전략 수립,양성 분야 확정,선발 규모/선발 전략 수립 검토 의견 등록,0.00,"분야,양성,확정","검토,규모,등록,선발,수립,의견,전략",창작/과치환 의심
V2-L6-0125,교육,양성,선발 전형 운영,선발관련 안내,선발 전형 운영 검토 의견 등록,0.00,"선발관련,안내","검토,등록,선발,의견,전형",창작/과치환 의심
V2-L6-0126,교육,양성,선발 전형 운영,서류 심사,선발 전형 운영 수정본 등록,0.00,"서류,심사","등록,선발,수정본,전형",창작/과치환 의심
V2-L6-0127,교육,양성,선발 전형 운영,면접 심사,선발 전형 운영 승인 결재 승인 완료,0.00,"면접,심사","결재,선발,승인,완료,전형",창작/과치환 의심
V2-L6-0135,교육,양성,파견자 관리,파견중 관리,파견자 관리 파견 관리내역 확정,0.00,파견중,"관리내역,파견,파견자,확정",창작/과치환 의심
V2-L6-0136,교육,양성,파견자 관리,파견후 관리,파견자 관리 검토 의견 등록,0.00,파견후,"검토,등록,의견,파견자",창작/과치환 의심
V2-L6-0137,교육,양성,파견자 관리,양성시스템 관리/정보입력,파견자 관리 수정본 등록,0.00,"양성시스템,정보입력","등록,수정본,파견자",창작/과치환 의심
V2-L6-0138,교육,양성,파견자 관리,양성시스템 관리/정보입력,파견자 관리 승인 결재 승인 완료,0.00,"양성시스템,정보입력","결재,승인,완료,파견자",창작/과치환 의심
V2-L6-0142,교육,진단/검정,결과 분석/확정/보고,진단/검정 결과 반영,결과 분석/확정/보고 승인 결재 승인 완료,0.00,"검정,반영,진단","결재,보고,분석,승인,완료,확정",창작/과치환 의심
V2-L6-0143,교육,진단/검정,결과 분석/확정/보고,격려금 지급,결과 분석/확정/보고 공지문 등록,0.00,"격려금,지급","공지문,등록,보고,분석,확정",창작/과치환 의심
V2-L6-0144,교육,진단/검정,결과 분석/확정/보고,격려금 지급,결과 분석/확정/보고 시스템 확정,0.00,"격려금,지급","보고,분석,시스템,확정",창작/과치환 의심
V2-L6-0145,교육,진단/검정,결과 분석/확정/보고,격려금 지급,결과 분석/확정/보고 시행 내역 등록,0.00,"격려금,지급","등록,보고,분석,시행,확정",창작/과치환 의심
V2-L6-0146,교육,진단/검정,결과 분석/확정/보고,격려금 지급,결과 분석/확정/보고 운영 결과 리포트 등록,0.00,"격려금,지급","등록,리포트,보고,분석,확정",창작/과치환 의심
V2-L6-0148,교육,진단/검정,실시계획 수립,진단/검정 대상 확정,실시계획 수립 검토 의견 등록,0.00,"검정,대상,진단,확정","검토,등록,수립,실시계획,의견",창작/과치환 의심
V2-L6-0149,교육,진단/검정,실시계획 수립,진단/검정 대상 확정,실시계획 수립 수정본 등록,0.00,"검정,대상,진단,확정","등록,수립,수정본,실시계획",창작/과치환 의심
V2-L6-0150,교육,진단/검정,실시계획 수립,진단/검정 대상 확정,실시계획 수립 승인 결재 승인 완료,0.00,"검정,대상,진단,확정","결재,수립,승인,실시계획,완료",창작/과치환 의심
V2-L6-0171,교육,컨텐츠 개발(외부),강사계약,교육 위탁업체 Bidding,강사계약 강사 배정표 확정,0.00,"Bidding,교육,위탁업체","강사,강사계약,배정표,확정",창작/과치환 의심
V2-L6-0172,교육,컨텐츠 개발(외부),강사계약,교육 위탁 계약 체결(필요시),강사계약 검토 의견 등록,0.00,"계약,교육,위탁,체결,필요시","강사계약,검토,등록,의견",창작/과치환 의심
V2-L6-0173,교육,컨텐츠 개발(외부),강사계약,교육 위탁 계약 체결(필요시),강사계약 수정본 등록,0.00,"계약,교육,위탁,체결,필요시","강사계약,등록,수정본",창작/과치환 의심
V2-L6-0174,교육,컨텐츠 개발(외부),강사계약,교육 위탁 계약 체결(필요시),강사계약 승인 결재 승인 완료,0.00,"계약,교육,위탁,체결,필요시","강사계약,결재,승인,완료",창작/과치환 의심
V2-L6-0176,교육,컨텐츠 개발(외부),강사선정,강사 섭외,강사선정 검토 의견 등록,0.00,"강사,섭외","강사선정,검토,등록,의견",창작/과치환 의심
V2-L6-0177,교육,컨텐츠 개발(외부),강사선정,강사 섭외,강사선정 수정본 등록,0.00,"강사,섭외","강사선정,등록,수정본",창작/과치환 의심
V2-L6-0178,교육,컨텐츠 개발(외부),강사선정,강사 섭외,강사선정 승인 결재 승인 완료,0.00,"강사,섭외","강사선정,결재,승인,완료",창작/과치환 의심
V2-L6-0183,교육,컨텐츠 개발(외부),컨텐츠협의,교육 내용 협의,컨텐츠협의 결과 확정,0.00,"교육,내용,협의","컨텐츠협의,확정",창작/과치환 의심
V2-L6-0184,교육,컨텐츠 개발(외부),컨텐츠협의,교육 내용 협의,컨텐츠협의 검토 의견 등록,0.00,"교육,내용,협의","검토,등록,의견,컨텐츠협의",창작/과치환 의심
V2-L6-0185,교육,컨텐츠 개발(외부),컨텐츠협의,교육 내용 협의,컨텐츠협의 수정본 등록,0.00,"교육,내용,협의","등록,수정본,컨텐츠협의",창작/과치환 의심
V2-L6-0186,교육,컨텐츠 개발(외부),컨텐츠협의,교육 내용 협의,컨텐츠협의 승인 결재 승인 완료,0.00,"교육,내용,협의","결재,승인,완료,컨텐츠협의",창작/과치환 의심
V2-L6-0380,인력운영,비정규/계약직 인력 관리,촉탁계약직 관리,촉탁 계약직 운영 가이드 수립,촉탁계약직 관리 요청 접수 확정,0.00,"가이드,계약직,수립,촉탁","요청,접수,촉탁계약직,확정",창작/과치환 의심
