[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,주체,전략 사유,분해유형,L5_유형,L6_순번
인력운영,비정규/계약직 인력 관리,시간선택제 관리,시간선택제 운영 가이드 수립,인력운영,비정규/계약직 인력 관리,시간선택제 관리,시간선택제 운영 가이드 확정,HR,운영 기준 HR 확정,1:1,T01,1
인력운영,비정규/계약직 인력 관리,시간선택제 관리,시간선택제 근무 관리,인력운영,비정규/계약직 인력 관리,시간선택제 관리,시간선택제 근무 현황 추출,DW,시간선택제 근태 자동 추출,1:1,T01,2
인력운영,비정규/계약직 인력 관리,예비군 관리,예비군 운영 가이드 수립,인력운영,비정규/계약직 인력 관리,예비군 관리,예비군 운영 가이드 확정,HR,예비군 훈련 운영 기준 HR 확정,1:1,T01,1
인력운영,비정규/계약직 인력 관리,예비군 관리,예비군 근무 관리,인력운영,비정규/계약직 인력 관리,예비군 관리,예비군 훈련 대상자 명단 추출,DW,예비군 훈련 일정 기준 자동 추출,1:1,T01,2
인력운영,비정규/계약직 인력 관리,촉탁계약직 관리,촉탁 계약직 운영 가이드 수립,인력운영,비정규/계약직 인력 관리,촉탁계약직 관리,촉탁계약직 운영 가이드 확정,HR,촉탁 운영 기준 HR 확정,1:1,T01,1
인력운영,비정규/계약직 인력 관리,촉탁계약직 관리,촉탁 계약직 근무 관리,인력운영,비정규/계약직 인력 관리,촉탁계약직 관리,촉탁계약직 근무 현황 추출,DW,촉탁계약직 근태 자동 추출,1:1,T01,2
제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,연간 성과관리 가이드 수립,제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,연간 성과관리 가이드 확정,HR,성과관리 운영 기조 HR 확정,1:1,T01,1
제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,임직원 가이드 작성/배포,제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,임직원 성과관리 가이드 배포,DW,임직원 대상 가이드 자동 배포,1:1,T01,2
제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,그라운드룰 시스템 셋팅,제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,성과관리 시스템 셋팅 등록,DW,그라운드룰·업무목표 시스템 셋팅 등록,통폐합,T01,3
제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,업무목표 시스템 셋팅,제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,성과관리 시스템 셋팅 등록,DW,그라운드룰·업무목표 시스템 셋팅 등록,통폐합,T01,3
제도,그라운드룰&업무목표&수시피드백,대상자 확정/변경,예외자 및 기타 사유 점검,제도,그라운드룰&업무목표&수시피드백,대상자 확정/변경,성과관리 대상자 명단 추출,DW,예외자 포함 대상자 전체 시스템 추출,1:1,T08,1
제도,그라운드룰&업무목표&수시피드백,대상자 확정/변경,대상자 점검/확정,제도,그라운드룰&업무목표&수시피드백,대상자 확정/변경,성과관리 대상자 명단 확정,HR,예외 사유 검토 후 HR 최종 확정,1:1,T08,2
제도,그라운드룰&업무목표&수시피드백,승인자/부서장 매핑 확정/변경,팀장급 수신대상자 정비,제도,그라운드룰&업무목표&수시피드백,승인자/부서장 매핑 확정/변경,승인자·부서장 매핑 명단 추출,DW,승인자 매핑 현황 시스템 추출,1:1,T08,1
제도,그라운드룰&업무목표&수시피드백,승인자/부서장 매핑 확정/변경,HRBP 인사 컨택포인트에 가이드 병행,제도,그라운드룰&업무목표&수시피드백,승인자/부서장 매핑 확정/변경,승인자·부서장 매핑 확정,HR,HRBP 컨택포인트 포함 매핑 HR 확정,1:1,T08,2
제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,그라운드룰 수립 부서장 안내,제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,그라운드룰 수립 안내문 발송,DW,부서장 대상 그라운드룰 수립 안내 자동 발송,1:1,T08,1
제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,부서장 그라운드룰 수립 독려,제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,그라운드룰 미수립 부서장 독려 발송,DW,미수립 부서장 자동 추출 후 독려 발송,1:1,T08,2
제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,업무목표 수립 안내,제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,업무목표 수립 안내문 발송,DW,임직원 대상 업무목표 수립 안내 자동 발송,1:1,T08,3
제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,업무목표 리마인더 안내,제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,업무목표 리마인더 발송,DW,마감 전 리마인더 자동 발송,1:1,T08,4
제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,부서장 공유세션 공지,제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,부서장 공유세션 공지 발송,DW,공유세션 일정 자동 공지,1:1,T08,5
제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,수시피드백 부서장/부서원 메일링,제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,수시피드백 안내 메일 발송,DW,부서장·부서원 수시피드백 안내 자동 발송,1:1,T08,6
제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,수시피드백 진행 독려 안내,제도,그라운드룰&업무목표&수시피드백,운영 및 임직원 소통,수시피드백 미완료 독려 발송,DW,미완료 대상자 자동 추출 후 독려 발송,1:1,T08,7
제도,그라운드룰&업무목표&수시피드백,결과 분석/보고,실시율 점검,제도,그라운드룰&업무목표&수시피드백,결과 분석/보고,성과관리 실시율 명단 추출,DW,시스템 실시율 자동 추출,1:1,T09,1
제도,그라운드룰&업무목표&수시피드백,결과 분석/보고,상세 입력 내용 분석/인사이트 도출,제도,그라운드룰&업무목표&수시피드백,결과 분석/보고,성과관리 분석 결과 취합,HR,입력 내용 분석 HR 수행,1:1,T09,2
제도,그라운드룰&업무목표&수시피드백,결과 분석/보고,결과 보고서 작성,제도,그라운드룰&업무목표&수시피드백,결과 분석/보고,성과관리 결과 보고서 확정,HR,분석 결과 기반 보고서 HR 확정,1:1,T09,3
제도,피어리뷰,가이드 수립/배포 및 시스템 준비,피어리뷰 연간 운영가이드 수립,제도,피어리뷰,가이드 수립/배포 및 시스템 준비,피어리뷰 운영 가이드 확정,HR,피어리뷰 연간 운영 기준 HR 확정,1:1,T01,1
제도,피어리뷰,가이드 수립/배포 및 시스템 준비,피어리뷰 시스템 셋팅,제도,피어리뷰,가이드 수립/배포 및 시스템 준비,피어리뷰 시스템 셋팅 등록,DW,피어리뷰 시스템 셋팅 등록,1:1,T01,2
제도,피어리뷰,가이드 수립/배포 및 시스템 준비,임직원 가이드 작성/배포,제도,피어리뷰,가이드 수립/배포 및 시스템 준비,임직원 피어리뷰 가이드 배포,DW,임직원 가이드 자동 배포,1:1,T01,3
제도,피어리뷰,대상자 확정/변경(예외자/사유 확인),예외자 및 기타 사유 점검,제도,피어리뷰,대상자 확정/변경(예외자/사유 확인),피어리뷰 대상자 명단 추출,DW,예외자 포함 대상자 시스템 추출,1:1,T08,1
제도,피어리뷰,대상자 확정/변경(예외자/사유 확인),대상자 점검/확정,제도,피어리뷰,대상자 확정/변경(예외자/사유 확인),피어리뷰 대상자 명단 확정,HR,예외 사유 검토 후 HR 최종 확정,1:1,T08,2
제도,피어리뷰,승인자/부서장 매핑 확정/변경,1차 부서장 정비/확정,제도,피어리뷰,승인자/부서장 매핑 확정/변경,피어리뷰 승인자 매핑 명단 추출,DW,1차 부서장 매핑 현황 추출,1:1,T08,1
제도,피어리뷰,승인자/부서장 매핑 확정/변경,HRBP 인사 컨택포인트에 가이드 병행,제도,피어리뷰,승인자/부서장 매핑 확정/변경,피어리뷰 승인자 매핑 확정,HR,HRBP 가이드 병행 후 HR 확정,1:1,T08,2
제도,피어리뷰,피어리뷰 운영/ 임직원 소통,피어리뷰어 안내(피어리뷰어 선택 선택질문 작성),제도,피어리뷰,피어리뷰 운영/ 임직원 소통,피어리뷰어 선택 안내문 발송,DW,피어리뷰어 선택 방법 안내 자동 발송,1:1,T08,1
제도,피어리뷰,피어리뷰 운영/ 임직원 소통,부서장 안내(리뷰어 변경 리뷰결과 확인),제도,피어리뷰,피어리뷰 운영/ 임직원 소통,부서장 리뷰어 관리 안내문 발송,DW,부서장 대상 리뷰어 관리 안내 자동 발송,1:1,T08,2
제도,피어리뷰,피어리뷰 운영/ 임직원 소통,리뷰어 안내(리뷰 작성),제도,피어리뷰,피어리뷰 운영/ 임직원 소통,리뷰어 리뷰 작성 안내문 발송,DW,리뷰어 대상 작성 안내 자동 발송,1:1,T08,3
제도,피어리뷰,결과 분석/보고 및 결과 안내,실시율 점검,제도,피어리뷰,결과 분석/보고 및 결과 안내,피어리뷰 실시율 명단 추출,DW,시스템 실시율 자동 추출,1:1,T09,1
제도,피어리뷰,결과 분석/보고 및 결과 안내,상세 입력 내용 분석/인사이트 도출,제도,피어리뷰,결과 분석/보고 및 결과 안내,피어리뷰 분석 결과 취합,HR,입력 내용 분석 HR 수행,1:1,T09,2
제도,피어리뷰,결과 분석/보고 및 결과 안내,결과 보고서 작성,제도,피어리뷰,결과 분석/보고 및 결과 안내,피어리뷰 결과 보고서 확정,HR,분석 결과 기반 보고서 HR 확정,1:1,T09,3
제도,피어리뷰,결과 분석/보고 및 결과 안내,리뷰결과 부서장 및 피어리뷰 대상 공지,제도,피어리뷰,결과 분석/보고 및 결과 안내,리뷰 결과 안내문 발송,DW,부서장·대상자 리뷰 결과 자동 발송,1:1,T09,4
제도,업적평가,가이드 수립/배포 및 시스템 준비,평가 운영 가이드 수립,제도,업적평가,가이드 수립/배포 및 시스템 준비,업적평가 운영 가이드 확정,HR,업적평가 운영 기준 HR 확정,1:1,T01,1
제도,업적평가,가이드 수립/배포 및 시스템 준비,임직원 가이드 작성/배포,제도,업적평가,가이드 수립/배포 및 시스템 준비,임직원 업적평가 가이드 배포,DW,임직원 가이드 자동 배포,1:1,T01,2
제도,업적평가,가이드 수립/배포 및 시스템 준비,업적평가 시스템 셋팅,제도,업적평가,가이드 수립/배포 및 시스템 준비,업적평가 시스템 셋팅 등록,DW,업적평가 시스템 셋팅 등록,1:1,T01,3
제도,업적평가,가이드 수립/배포 및 시스템 준비,평가자 교육,제도,업적평가,가이드 수립/배포 및 시스템 준비,평가자 교육 일정 확정,HR,평가자 교육 커리큘럼·일정 HR 확정,1:1,T01,4
제도,업적평가,대상자 확정/변경 (예외자/사유 확인),예외자 및 기타 사유 점검,제도,업적평가,대상자 확정/변경 (예외자/사유 확인),업적평가 대상자 명단 추출,DW,예외자 포함 대상자 시스템 추출,1:1,T08,1
제도,업적평가,대상자 확정/변경 (예외자/사유 확인),대상자 점검/확정,제도,업적평가,대상자 확정/변경 (예외자/사유 확인),업적평가 대상자 명단 확정,HR,예외 사유 검토 후 HR 최종 확정,1:1,T08,2
제도,업적평가,승인자/부서장 매핑 확정/변경,1/2/3차 평가자 점검/확정,제도,업적평가,승인자/부서장 매핑 확정/변경,업적평가 평가자 매핑 명단 추출,DW,평가자 매핑 현황 시스템 추출,1:1,T08,1
제도,업적평가,승인자/부서장 매핑 확정/변경,HRBP 인사 컨택포인트에 가이드 병행,제도,업적평가,승인자/부서장 매핑 확정/변경,업적평가 평가자 매핑 확정,HR,HRBP 가이드 병행 후 HR 확정,1:1,T08,2
제도,업적평가,업적평가 운영 / 임직원 소통,평가일정 전사 공지,제도,업적평가,업적평가 운영 / 임직원 소통,업적평가 일정 공지 발송,DW,전사 평가 일정 자동 공지,1:1,T08,1
제도,업적평가,업적평가 운영 / 임직원 소통,부서원/부서장 가이드 배포,제도,업적평가,업적평가 운영 / 임직원 소통,업적평가 가이드 배포,DW,부서원·부서장 가이드 자동 배포,1:1,T08,2
제도,업적평가,업적평가 운영 / 임직원 소통,부서장 평가 및 평가의견 입력,제도,업적평가,업적평가 운영 / 임직원 소통,부서장 평가 진행 현황 추출,DW,부서장 평가 완료 현황 자동 추출,1:1,T08,3
제도,업적평가,업적평가 운영 / 임직원 소통,부서장 평가면담 실시 및 결과 입력,제도,업적평가,업적평가 운영 / 임직원 소통,평가면담 결과 취합,DW,면담 결과 입력 자동 취합,1:1,T08,4
제도,업적평가,업적평가 운영 / 임직원 소통,본인 평가 (업무목표별 성과 작성),제도,업적평가,업적평가 운영 / 임직원 소통,본인 평가 진행 현황 추출,DW,본인 평가 완료 현황 자동 추출,1:1,T08,5
제도,업적평가,업적평가 운영 / 임직원 소통,평가 공정성 설문조사,제도,업적평가,업적평가 운영 / 임직원 소통,평가 공정성 설문 결과 취합,DW,설문 결과 자동 취합,1:1,T08,6
제도,업적평가,결과 분석/보고 및 결과 안내,평가 실시율 점검,제도,업적평가,결과 분석/보고 및 결과 안내,업적평가 실시율 명단 추출,DW,시스템 실시율 자동 추출,1:1,T09,1
제도,업적평가,결과 분석/보고 및 결과 안내,평가내용 분석,제도,업적평가,결과 분석/보고 및 결과 안내,업적평가 결과 분석 보고서 확정,HR,평가 결과 분석 보고서 HR 확정,통폐합,T09,2
제도,업적평가,결과 분석/보고 및 결과 안내,결과 보고서 작성,제도,업적평가,결과 분석/보고 및 결과 안내,업적평가 결과 분석 보고서 확정,HR,평가 결과 분석 보고서 HR 확정,통폐합,T09,2
제도,업적평가,결과 분석/보고 및 결과 안내,평가 결과 부서장/부서원 안내,제도,업적평가,결과 분석/보고 및 결과 안내,업적평가 결과 안내문 발송,DW,부서장·부서원 평가 결과 자동 발송,1:1,T09,3
제도,업적평가,후속 조치,연봉등급 검토/확정,제도,업적평가,후속 조치,연봉등급 확정,HR,평가 결과 기반 연봉등급 HR 확정,1:1,T06,1
제도,업적평가,후속 조치,평가등급 반영,제도,업적평가,후속 조치,평가등급 시스템 등록,DW,Workday 평가등급 등록,1:1,T06,2
제도,업적평가,후속 조치,평가 이의신청 (신청 부서장 소명 심사 보고 확정),제도,업적평가,후속 조치,이의신청 접수,DW,이의신청 시스템 자동 접수,1:2,T06,3
제도,업적평가,후속 조치,평가 이의신청 (신청 부서장 소명 심사 보고 확정),제도,업적평가,후속 조치,이의신청 심사 결과 확정,HR,심사 결과 HR 최종 확정,1:2,T06,4
제도,역량진단,가이드 수립/배포 및 시스템 준비,팀/대직무별 Ground Rule 수립,제도,역량진단,가이드 수립/배포 및 시스템 준비,역량진단 운영 기준안 확정,HR,팀·직무별 그라운드룰 포함 운영 기준 HR 확정,통폐합,T01,1
제도,역량진단,가이드 수립/배포 및 시스템 준비,역량진단 운영 기조,제도,역량진단,가이드 수립/배포 및 시스템 준비,역량진단 운영 기준안 확정,HR,팀·직무별 그라운드룰 포함 운영 기준 HR 확정,통폐합,T01,1
제도,역량진단,가이드 수립/배포 및 시스템 준비,부서원 부서장 가이드 검토/작성,제도,역량진단,가이드 수립/배포 및 시스템 준비,임직원 역량진단 가이드 배포,DW,임직원 가이드 자동 배포,1:1,T01,2
제도,역량진단,대상자 확정/변경 (예외자/사유 확인),예외자 및 기타 사유 점검,제도,역량진단,대상자 확정/변경 (예외자/사유 확인),역량진단 대상자 명단 추출,DW,예외자 포함 대상자 시스템 추출,1:1,T08,1
제도,역량진단,대상자 확정/변경 (예외자/사유 확인),대상자 점검/확정,제도,역량진단,대상자 확정/변경 (예외자/사유 확인),역량진단 대상자 명단 확정,HR,예외 사유 검토 후 HR 최종 확정,1:1,T08,2
제도,역량진단,승인자/부서장 매핑 확정/변경,1/2차 평가자 점검/확정,제도,역량진단,승인자/부서장 매핑 확정/변경,역량진단 평가자 매핑 명단 추출,DW,평가자 매핑 현황 시스템 추출,1:1,T08,1
제도,역량진단,승인자/부서장 매핑 확정/변경,HRBP 인사 컨택포인트에 가이드 병행,제도,역량진단,승인자/부서장 매핑 확정/변경,역량진단 평가자 매핑 확정,HR,HRBP 가이드 병행 후 HR 확정,1:1,T08,2
제도,역량진단,역량진단 운영 및 임직원 소통,안내문 작성 및 전사 메일링 안내,제도,역량진단,역량진단 운영 및 임직원 소통,역량진단 안내문 발송,DW,전사 역량진단 안내 자동 발송,1:1,T08,1
제도,역량진단,역량진단 운영 및 임직원 소통,부서원/부서장 가이드 배포,제도,역량진단,역량진단 운영 및 임직원 소통,역량진단 가이드 발송,DW,부서원·부서장 가이드 자동 발송,1:1,T08,2
제도,역량진단,역량진단 운영 및 임직원 소통,역량진단 사전/사후세션 운영,제도,역량진단,역량진단 운영 및 임직원 소통,역량진단 사전·사후 세션 결과 취합,HR,세션 운영 결과 HR 수행·취합,1:1,T08,3
제도,역량진단,결과 분석/보고 및 결과 안내,진단 결과 분석,제도,역량진단,결과 분석/보고 및 결과 안내,역량진단 결과 분석 보고서 확정,HR,진단 결과 분석 보고서 HR 확정,1:1,T09,1
제도,역량진단,결과 분석/보고 및 결과 안내,고과요건 충족자 중 미충족자 확인,제도,역량진단,결과 분석/보고 및 결과 안내,고과요건 미충족자 명단 추출,DW,고과요건 미충족 조건 자동 필터링,1:1,T09,2
제도,역량진단,결과 분석/보고 및 결과 안내,미완료 부서장 최종 독려,제도,역량진단,결과 분석/보고 및 결과 안내,미완료 부서장 독려 발송,DW,미완료 부서장 자동 추출 후 독려 발송,1:1,T09,3
제도,역량진단,결과 분석/보고 및 결과 안내,결과 안내,제도,역량진단,결과 분석/보고 및 결과 안내,역량진단 결과 안내문 발송,DW,역량진단 결과 자동 안내 발송,1:1,T09,4
제도,승격,가이드 수립/배포 및 시스템 준비,승격 T/O 검토/확정,제도,승격,가이드 수립/배포 및 시스템 준비,승격 T/O 확정,HR,사업부별 승격 T/O HR 확정,1:1,T01,1
제도,승격,가이드 수립/배포 및 시스템 준비,승격 시스템 운영/관리,제도,승격,가이드 수립/배포 및 시스템 준비,승격 시스템 셋팅 등록,DW,승격 시스템 셋팅 등록,1:1,T01,2
제도,승격,가이드 수립/배포 및 시스템 준비,승격요건/승격점수 정비/확정,제도,승격,가이드 수립/배포 및 시스템 준비,승격 요건·기준 확정,HR,승격 요건·점수 기준 HR 확정,1:1,T01,3
제도,승격,대상자 확정/변경,인사/재무 어학요건 미충족자 점검/사전안내,제도,승격,대상자 확정/변경,어학요건 미충족자 사전 안내문 발송,DW,어학요건 미충족자 자동 추출 후 사전 안내,1:1,T08,1
제도,승격,대상자 확정/변경,예외자 및 기타 사유 점검,제도,승격,대상자 확정/변경,승격 대상자 명단 확정,HR,예외 사유 검토 후 HR 최종 확정,1:1,T08,2
제도,승격,승인자/부서장 매핑 확정/변경,1/2차 평가자 점검/확정,제도,승격,승인자/부서장 매핑 확정/변경,승격 평가자 매핑 명단 추출,DW,평가자 매핑 현황 시스템 추출,1:1,T08,1
제도,승격,승인자/부서장 매핑 확정/변경,HRBP 인사 컨택포인트에 가이드 병행,제도,승격,승인자/부서장 매핑 확정/변경,승격 평가자 매핑 확정,HR,HRBP 가이드 병행 후 HR 확정,1:1,T08,2
제도,승격,승격 운영 및 임직원 소통,수신 대상자 정비,제도,승격,승격 운영 및 임직원 소통,승격 대상 수신자 명단 추출,DW,승격 대상 수신자 시스템 추출,1:1,T08,1
제도,승격,승격 운영 및 임직원 소통,일정 안내(부서장용 본인용),제도,승격,승격 운영 및 임직원 소통,승격 일정 안내문 발송,DW,부서장·본인 대상 일정 안내 자동 발송,1:1,T08,2
제도,승격,승격 운영 및 임직원 소통,본인지원 안내/부서장 추천 안내,제도,승격,승격 운영 및 임직원 소통,본인지원·부서장 추천 안내문 발송,DW,지원·추천 방법 자동 발송,1:1,T08,3
제도,승격,승격 운영 및 임직원 소통,부서장 추천 공지 (1/2차),제도,승격,승격 운영 및 임직원 소통,부서장 추천 공지 발송,DW,1·2차 추천 공지 자동 발송,1:1,T08,4
제도,승격,승격 운영 및 임직원 소통,특화역량 프로세스 운영,제도,승격,승격 운영 및 임직원 소통,특화역량 프로세스 결과 취합,HR,특화역량 운영 결과 HR 취합,1:1,T08,5
제도,승격,승격 운영 및 임직원 소통,승격세션 프로세스 운영,제도,승격,승격 운영 및 임직원 소통,승격세션 결과 취합,HR,승격세션 운영 결과 HR 취합,1:1,T08,6
제도,승격,결과 분석/보고 및 결과 안내,사업부 승격검토 결과 확정/취합,제도,승격,결과 분석/보고 및 결과 안내,사업부 승격검토 결과 취합,DW,사업부 승격검토 결과 자동 취합,1:1,T09,1
제도,승격,결과 분석/보고 및 결과 안내,발탁/핵심/신사업 등 승격 현황 분석,제도,승격,결과 분석/보고 및 결과 안내,승격 현황 분석 보고서 확정,HR,승격 유형별 현황 분석 보고서 HR 확정,통폐합,T09,2
제도,승격,결과 분석/보고 및 결과 안내,최종 승격규모 및 승격안 작성/보고,제도,승격,결과 분석/보고 및 결과 안내,승격 현황 분석 보고서 확정,HR,승격 유형별 현황 분석 보고서 HR 확정,통폐합,T09,2
제도,승격,결과 분석/보고 및 결과 안내,승격 결과 메일링(직원/부서장),제도,승격,결과 분석/보고 및 결과 안내,승격 결과 메일 발송,DW,직원·부서장 승격 결과 자동 발송,1:1,T09,3
제도,승격,후속 조치,승격사령장 준비,제도,승격,후속 조치,승격사령장 발행,HR,승격사령장 공식 발행,1:1,T06,1
제도,승격,후속 조치,신임 사령장 배포,제도,승격,후속 조치,사령장 발송,DW,승격자 대상 사령장 자동 발송,1:1,T06,2
제도,승격,후속 조치,승격발령 반영,제도,승격,후속 조치,승격발령 등록,DW,Workday 승격발령 등록,1:1,T06,3
제도,연봉책정/계약,가이드 수립/배포 및 시스템 준비,임직원 가이드 작성/배포,제도,연봉책정/계약,가이드 수립/배포 및 시스템 준비,임직원 연봉책정 가이드 배포,DW,임직원 가이드 자동 배포,1:1,T01,1
제도,연봉책정/계약,가이드 수립/배포 및 시스템 준비,연봉계약 예외 기준 가이드 배포(인사담당자),제도,연봉책정/계약,가이드 수립/배포 및 시스템 준비,연봉계약 예외 기준 가이드 배포,DW,인사담당자 대상 예외기준 가이드 자동 배포,1:1,T01,2
제도,연봉책정/계약,가이드 수립/배포 및 시스템 준비,연봉책정 시스템 셋팅,제도,연봉책정/계약,가이드 수립/배포 및 시스템 준비,연봉책정 시스템 셋팅 등록,DW,연봉책정·비연봉제 시스템 셋팅 등록,통폐합,T01,3
제도,연봉책정/계약,가이드 수립/배포 및 시스템 준비,비연봉제 연간급여 시스템,제도,연봉책정/계약,가이드 수립/배포 및 시스템 준비,연봉책정 시스템 셋팅 등록,DW,연봉책정·비연봉제 시스템 셋팅 등록,통폐합,T01,3
제도,연봉책정/계약,대상자 확정/변경 (예외자/사유 확인),예외자 및 기타 사유 점검,제도,연봉책정/계약,대상자 확정/변경 (예외자/사유 확인),연봉책정 대상자 명단 추출,DW,예외자 포함 대상자 시스템 추출,1:1,T08,1
제도,연봉책정/계약,대상자 확정/변경 (예외자/사유 확인),대상자 점검/확정,제도,연봉책정/계약,대상자 확정/변경 (예외자/사유 확인),연봉책정 대상자 명단 확정,HR,예외 사유 검토 후 HR 최종 확정,1:1,T08,2
제도,연봉책정/계약,승인자/부서장 매핑 확정/변경,1/2차 평가자 점검/확정,제도,연봉책정/계약,승인자/부서장 매핑 확정/변경,연봉책정 평가자 매핑 명단 추출,DW,평가자 매핑 현황 시스템 추출,1:1,T08,1
제도,연봉책정/계약,승인자/부서장 매핑 확정/변경,HRBP 인사 컨택포인트에 가이드 병행,제도,연봉책정/계약,승인자/부서장 매핑 확정/변경,연봉책정 평가자 매핑 확정,HR,HRBP 가이드 병행 후 HR 확정,1:1,T08,2
제도,연봉책정/계약,연봉책정/계약 운영 및 임직원 소통,연봉책정 실시/가이드 안내,제도,연봉책정/계약,연봉책정/계약 운영 및 임직원 소통,연봉책정 실시 안내문 발송,DW,연봉책정 실시 안내 자동 발송,1:1,T08,1
제도,연봉책정/계약,연봉책정/계약 운영 및 임직원 소통,부서장 연봉조정 프로세스 운영,제도,연봉책정/계약,연봉책정/계약 운영 및 임직원 소통,부서장 연봉조정 결과 취합,DW,부서장 연봉조정 입력 결과 자동 취합,1:1,T08,2
제도,연봉책정/계약,결과 분석/보고 및 결과 안내,연도별 연봉책정 현황 분석,제도,연봉책정/계약,결과 분석/보고 및 결과 안내,연봉책정 현황 분석 보고서 확정,HR,연도별 연봉책정 결과 분석 보고서 HR 확정,1:1,T09,1
제도,연봉책정/계약,결과 분석/보고 및 결과 안내,연봉계약서 안내 메일링,제도,연봉책정/계약,결과 분석/보고 및 결과 안내,연봉계약서 안내 메일 발송,DW,임직원·복직자 연봉계약서 안내 자동 발송,통폐합,T09,2
제도,연봉책정/계약,결과 분석/보고 및 결과 안내,복직자 연봉 계약서 안내,제도,연봉책정/계약,결과 분석/보고 및 결과 안내,연봉계약서 안내 메일 발송,DW,임직원·복직자 연봉계약서 안내 자동 발송,통폐합,T09,2
제도,시상,가이드 수립/배포 및 시스템 준비,전사 시상규정 관리 (상벌규정),제도,시상,가이드 수립/배포 및 시스템 준비,시상 규정·운영 기준 확정,HR,시상규정·운영기조 HR 확정,통폐합,T01,1
제도,시상,가이드 수립/배포 및 시스템 준비,시상별 운영 기조 및 기준 수립,제도,시상,가이드 수립/배포 및 시스템 준비,시상 규정·운영 기준 확정,HR,시상규정·운영기조 HR 확정,통폐합,T01,1
제도,시상,가이드 수립/배포 및 시스템 준비,시상 분야 신설 TO 재편 등 시상 규모 조율,제도,시상,가이드 수립/배포 및 시스템 준비,시상 분야·T/O 확정,HR,시상 분야 신설·T/O 규모 HR 확정,1:1,T01,2
제도,시상,가이드 수립/배포 및 시스템 준비,심사위원회 구성,제도,시상,가이드 수립/배포 및 시스템 준비,심사위원회 명단 확정,HR,심사위원 선정 HR 확정,1:1,T01,3
